"methoxybenzoic","methoxybenzoic"
"anisic","anisic"
"vanillate","vanillate"
"aromatic","aromatic"
"gallac","gallac"
"gallic","gallic"
"trihydroxybenzoic","trihydroxybenzoic"
"trihydroxy","trihydroxy"
"pale","pale"
"fawn","fawn"
"cinmac","cinmac"
"cinnamic","cinnamic"
"phenylprop","phenylprop"
"phenylacrylic","phenylacrylic"
"cinnamylic","cinnamylic"
"benzenepropenoic","benzenepropenoic"
"hydroxycinnamic","hydroxycinnamic"
"monoclinic","monoclinic"
"coumaco","coumaco"
"o","o"
"coumaric","coumaric"
"ortho","ortho"
"hydroxyphenyl","hydroxyphenyl"
"prop","prop"
"propenoic","propenoic"
"coumacp","coumacp"
"para","para"
"acrylic","acrylic"
"caffac","caffac"
"caffeic","caffeic"
"dihydroxyphenyl","dihydroxyphenyl"
"caffeate","caffeate"
"cinnamate","cinnamate"
"dihydroxybenzeneacrylic","dihydroxybenzeneacrylic"
"chlrac","chlrac"
"chlorogenic","chlorogenic"
"cqa","cqa"
"dihydroxycinnamoyl","dihydroxycinnamoyl"
"quinate","quinate"
"caffeoylquinate","caffeoylquinate"
"caffeoylquinic","caffeoylquinic"
"chlorogenate","chlorogenate"
"heriguard","heriguard"
"ester","ester"
"ferac","ferac"
"ferulic","ferulic"
"methoxyphenyl","methoxyphenyl"
"methoxy","methoxy"
"methoxycinnamic","methoxycinnamic"
"ferulate","ferulate"
"coniferic","coniferic"
"apigen","apigen"
"apigenin","apigenin"
"flavone","flavone"
"flavonoid","flavonoid"
"polyhydroxyphenol","polyhydroxyphenol"
"hydroxyl","hydroxyl"
"trihydroxyflavone","trihydroxyflavone"
"apigenine","apigenine"
"chamomile","chamomile"
"apigenol","apigenol"
"spigenin","spigenin"
"versulin","versulin"
"aglycone","aglycone"
"glycoside","glycoside"
"apigen6cgls","apigen6cgls"
"gluoside","gluoside"
"isovitexin","isovitexin"
"homovitexin","homovitexin"
"saponaretin","saponaretin"
"apigen7onshps","apigen7onshps"
"neohesperidoside","neohesperidoside"
"rhoifolin","rhoifolin"
"luteol","luteol"
"luteolin","luteolin"
"luteolol","luteolol"
"digitoflavone","digitoflavone"
"flacitran","flacitran"
"luteoline","luteoline"
"kaemf","kaemf"
"kaempferol","kaempferol"
"flavonol","flavonol"
"kaempherol","kaempherol"
"robigenin","robigenin"
"pelargidenolon","pelargidenolon"
"rhamnolutein","rhamnolutein"
"rhamnolutin","rhamnolutin"
"populnetin","populnetin"
"trifolitin","trifolitin"
"kempferol","kempferol"
"swartziol","swartziol"
"querce","querce"
"quercetin","quercetin"
"bitter","bitter"
"flavor","flavor"
"sophoretin","sophoretin"
"meletin","meletin"
"quercetine","quercetine"
"xanthaurine","xanthaurine"
"quercetol","quercetol"
"quercitin","quercitin"
"quertine","quertine"
"flavin","flavin"
"querce3bdgls","querce3bdgls"
"glucoside","glucoside"
"isoquercetin","isoquercetin"
"isoquercitrin","isoquercitrin"
"isoquercitroside","isoquercitroside"
"isoquercitin","isoquercitin"
"trifoliin","trifoliin"
"isotrifolin","isotrifolin"
"isohyperoside","isohyperoside"
"isotrifoliin","isotrifoliin"
"glucopyranoside","glucopyranoside"
"querce3ortns","querce3ortns"
"rutinoside","rutinoside"
"rutin","rutin"
"rutoside","rutoside"
"sophorin","sophorin"
"phytomelin","phytomelin"
"birutan","birutan"
"eldrin","eldrin"
"globularicitrin","globularicitrin"
"violaquercitrin","violaquercitrin"
"querce3bgls","querce3bgls"
"galactoside","galactoside"
"hyperoside","hyperoside"
"hyperozide","hyperozide"
"hyperasid","hyperasid"
"hyperosid","hyperosid"
"hyperin","hyperin"
"isormt","isormt"
"isorhamnetin","isorhamnetin"
"methylquercetin","methylquercetin"
"isorhamnetol","isorhamnetol"
"isorhamentin","isorhamentin"
