"aconitifolia","aconitifolia"
"motha","motha"
"narippayir","narippayir"
"matki","matki"
"kal","kal"
"kheri","kheri"
"math","math"
"bhiopnitam","bhiopnitam"
"b017","b017"
"peas","peas"
"pisum","pisum"
"sativum","sativum"
"motor","motor"
"matar","matar"
"vatana","vatana"
"sukhi","sukhi"
"batani","batani"
"kaza","kaza"
"mator","mator"
"pattani","pattani"
"matara","matara"
"sukhe","sukhe"
"hare","hare"
"kan.","kan."
"kara","kara"
"mangal","mangal"
"b018","b018"
"rajmah","rajmah"
"phansi","phansi"
"kadi","kadi"
"thugare","thugare"
"razma","razma"
"rajma","rajma"
"heh","heh"
"shravangheveda","shravangheveda"
"makussttaka","makussttaka"
"payir","payir"
"barigalu","barigalu"
"b019","b019"
"gulabi","gulabi"
"bhoore","bhoore"
"b020","b020"
"red","red"
"lal","lal"
"rit","rit"
"b021","b021"
"cajanus","cajanus"
"cajan","cajan"
"rohor","rohor"
"b.","b."
"kash.","kash."
"arhar","arhar"
"tuver","tuver"
"tuvaru","tuvaru"
"mairongbi","mairongbi"
"turdal","turdal"
"rahar","rahar"
"harada","harada"
"aaddhakii","aaddhakii"
"kandi","kandi"
"tuvaramparuppu","tuvaramparuppu"
"tuvar","tuvar"
"b022","b022"
"sabud","sabud"
"ja","ja"
"tuvarai","tuvarai"
"kandulu","kandulu"
"b023","b023"
"ricebean","ricebean"
"umbellata","umbellata"
"galmoong","galmoong"
"meth","meth"
"kattuzhunnu","kattuzhunnu"
"chakwai","chakwai"
"shiltong","shiltong"
"b024","b024"
"soya","soya"
"glycine","glycine"
"max","max"
"garikalai","garikalai"
"bhatmas","bhatmas"
"muth","muth"
"toh","toh"
"nunghawai","nunghawai"
"b025","b025"
"c001","c001"
"agathi","agathi"
"leaves","leaves"
"sesbania","sesbania"
"grandiflora","grandiflora"
"bok","bok"
"phular","phular"
"paat","paat"
"bak","bak"
"ful","ful"
"shak","shak"
"agathio","agathio"
"agasthi","agasthi"
"agase","agase"
"soppu","soppu"
"chu","chu"
"rangmei","rangmei"
"ka","ka"
"agasti","agasti"
"avise","avise"
"akulu","akulu"
"leafy","leafy"
"vegetables","vegetables"
"c002","c002"
"gangeticus","gangeticus"
"sak","sak"
"notya","notya"
"shaakh","shaakh"
"taldalja","taldalja"
"bhaaji","bhaaji"
"chaulai","chaulai"
"latte","latte"
"to","to"
"saag","saag"
"neutia","neutia"
"maarissa","maarissa"
"thandu","thandu"
"cholai","cholai"
"c003","c003"
"mix","mix"
"tandaljo","tandaljo"
"c004","c004"
"c005","c005"
"spinosus","spinosus"
"kanta","kanta"
"vado","vado"
"kantewali","kantewali"
"mulla","mulla"
"mullancheru","mullancheru"
"kantemanth","kantemanth"
"notay","notay"
"mulaikeerai","mulaikeerai"
"thotakura","thotakura"
"c006","c006"
"shaak","shaak"
"sla","sla"
"longmar","longmar"
"mulakeerai","mulakeerai"
"c007","c007"
"basella","basella"
"alba","alba"
"puroi","puroi"
"pui","pui"
"poi","poi"
"bhaji","bhaji"
"palak","palak"
"basale","basale"
"palong","palong"
"dkhar","dkhar"
"vallicheera","vallicheera"
"mayalu","mayalu"
"saaga","saaga"
"paalak","paalak"
"kodippasali","kodippasali"
"bachhali","bachhali"
"c008","c008"
"bathua","bathua"
"album","album"
"jilmil","jilmil"
"beto","beto"
"chilni","chilni"
"sagu","sagu"
"sakothina","sakothina"
"ushtahak","ushtahak"
"jada","jada"
"parippuchira","parippuchira"
"monsaobi","monsaobi"
"chakavath","chakavath"
"bethe","bethe"
"bathu","bathu"
"pappukura","pappukura"
"paruppukkeerai","paruppukkeerai"
"c009","c009"
"beet","beet"
